issue_time,target_time,target_time_local,lead_hour,power_pred
2026-01-31,2026-01-31 00:00:00,2026-01-31 06:00:00,1,0.9762833333333333
2026-01-31,2026-01-31 01:00:00,2026-01-31 07:00:00,2,0.9765208333333333
2026-01-31,2026-01-31 02:00:00,2026-01-31 08:00:00,3,0.9765770833333333
2026-01-31,2026-01-31 03:00:00,2026-01-31 09:00:00,4,0.9765333333333334
2026-01-31,2026-01-31 04:00:00,2026-01-31 10:00:00,5,0.97715625
2026-01-31,2026-01-31 05:00:00,2026-01-31 11:00:00,6,0.9779479166666667
2026-01-31,2026-01-31 06:00:00,2026-01-31 12:00:00,7,0.9778333333333333
2026-01-31,2026-01-31 07:00:00,2026-01-31 13:00:00,8,0.9774270833333333
2026-01-31,2026-01-31 08:00:00,2026-01-31 14:00:00,9,0.9747791666666666
2026-01-31,2026-01-31 09:00:00,2026-01-31 15:00:00,10,0.9520833333333334
2026-01-31,2026-01-31 10:00:00,2026-01-31 16:00:00,11,0.9195458333333334
2026-01-31,2026-01-31 11:00:00,2026-01-31 17:00:00,12,0.8357166666666667
2026-01-31,2026-01-31 12:00:00,2026-01-31 18:00:00,13,0.6603791666666662
2026-01-31,2026-01-31 13:00:00,2026-01-31 19:00:00,14,0.5146083333333334
2026-01-31,2026-01-31 14:00:00,2026-01-31 20:00:00,15,0.32554583333333337
2026-01-31,2026-01-31 15:00:00,2026-01-31 21:00:00,16,0.19798958333333333
2026-01-31,2026-01-31 16:00:00,2026-01-31 22:00:00,17,0.1852479166666667
2026-01-31,2026-01-31 17:00:00,2026-01-31 23:00:00,18,0.07225416666666666
2026-01-31,2026-01-31 18:00:00,2026-02-01 00:00:00,19,0.05585416666666667
2026-01-31,2026-01-31 19:00:00,2026-02-01 01:00:00,20,0.061941666666666666
2026-01-31,2026-01-31 20:00:00,2026-02-01 02:00:00,21,0.09940416666666667
2026-01-31,2026-01-31 21:00:00,2026-02-01 03:00:00,22,0.12596041666666663
2026-01-31,2026-01-31 22:00:00,2026-02-01 04:00:00,23,0.11308124999999997
2026-01-31,2026-01-31 23:00:00,2026-02-01 05:00:00,24,0.11223958333333332
2026-01-31,2026-02-01 00:00:00,2026-02-01 06:00:00,25,0.12377708333333334
2026-01-31,2026-02-01 01:00:00,2026-02-01 07:00:00,26,0.1939625
2026-01-31,2026-02-01 02:00:00,2026-02-01 08:00:00,27,0.30086666666666667
2026-01-31,2026-02-01 03:00:00,2026-02-01 09:00:00,28,0.3653
2026-01-31,2026-02-01 04:00:00,2026-02-01 10:00:00,29,0.4017958333333333
2026-01-31,2026-02-01 05:00:00,2026-02-01 11:00:00,30,0.45110833333333333
2026-01-31,2026-02-01 06:00:00,2026-02-01 12:00:00,31,0.4953583333333333
2026-01-31,2026-02-01 07:00:00,2026-02-01 13:00:00,32,0.4778208333333333
2026-01-31,2026-02-01 08:00:00,2026-02-01 14:00:00,33,0.4530583333333334
2026-01-31,2026-02-01 09:00:00,2026-02-01 15:00:00,34,0.44395833333333334
2026-01-31,2026-02-01 10:00:00,2026-02-01 16:00:00,35,0.4576083333333334
2026-01-31,2026-02-01 11:00:00,2026-02-01 17:00:00,36,0.4852958333333335
2026-01-31,2026-02-01 12:00:00,2026-02-01 18:00:00,37,0.4913333333333333
2026-01-31,2026-02-01 13:00:00,2026-02-01 19:00:00,38,0.49047083333333324
2026-01-31,2026-02-01 14:00:00,2026-02-01 20:00:00,39,0.5097333333333333
2026-01-31,2026-02-01 15:00:00,2026-02-01 21:00:00,40,0.5635083333333332
2026-01-31,2026-02-01 16:00:00,2026-02-01 22:00:00,41,0.4091666666666667
2026-01-31,2026-02-01 17:00:00,2026-02-01 23:00:00,42,0.4100333333333333
2026-01-31,2026-02-01 18:00:00,2026-02-02 00:00:00,43,0.4149083333333334
2026-01-31,2026-02-01 19:00:00,2026-02-02 01:00:00,44,0.42270833333333335
2026-01-31,2026-02-01 20:00:00,2026-02-02 02:00:00,45,0.4427333333333334
2026-01-31,2026-02-01 21:00:00,2026-02-02 03:00:00,46,0.5355000000000003
2026-01-31,2026-02-01 22:00:00,2026-02-02 04:00:00,47,0.7124999999999999
2026-01-31,2026-02-01 23:00:00,2026-02-02 05:00:00,48,0.719325
2026-02-01,2026-02-01 00:00:00,2026-02-01 06:00:00,1,0.20074583333333332
2026-02-01,2026-02-01 01:00:00,2026-02-01 07:00:00,2,0.3197250000000001
2026-02-01,2026-02-01 02:00:00,2026-02-01 08:00:00,3,0.3974145833333333
2026-02-01,2026-02-01 03:00:00,2026-02-01 09:00:00,4,0.5081166666666668
2026-02-01,2026-02-01 04:00:00,2026-02-01 10:00:00,5,0.5180250000000001
2026-02-01,2026-02-01 05:00:00,2026-02-01 11:00:00,6,0.4299187500000003
2026-02-01,2026-02-01 06:00:00,2026-02-01 12:00:00,7,0.39517291666666665
2026-02-01,2026-02-01 07:00:00,2026-02-01 13:00:00,8,0.39965624999999994
2026-02-01,2026-02-01 08:00:00,2026-02-01 14:00:00,9,0.37655
2026-02-01,2026-02-01 09:00:00,2026-02-01 15:00:00,10,0.367975
2026-02-01,2026-02-01 10:00:00,2026-02-01 16:00:00,11,0.38083750000000005
2026-02-01,2026-02-01 11:00:00,2026-02-01 17:00:00,12,0.37491666666666673
